timestamp,pm1,pm25,pm10,temperature,humidity,aqi,quality,latitude,longitude
2026-02-10T12:55:25.962765,37,185,256,18.9,48.1,130,GOOD,,
2026-02-10T12:55:26.357779,37,39,242,28.3,33.3,274,UNHEALTHY,,
2026-02-10T12:55:27.968891,62,194,287,24.8,76.8,261,MODERATE,,
2026-02-10T12:55:28.363489,37,132,241,25.6,66.2,17,UNHEALTHY,,
2026-02-10T12:55:29.974893,46,113,219,23.9,73.6,178,UNHEALTHY,,
2026-02-10T12:55:30.364777,91,170,26,23.4,42.3,183,GOOD,,
2026-02-10T12:55:31.980264,40,93,291,24.8,32.5,65,GOOD,,
2026-02-10T12:55:32.370399,24,197,108,25.5,51.2,176,UNHEALTHY,,
2026-02-10T12:55:33.985951,36,172,277,19.7,53.7,225,GOOD,,
2026-02-10T12:55:34.376175,38,198,212,20.2,78.3,139,MODERATE,,
2026-02-10T12:55:35.991975,62,117,86,28.6,41.6,114,GOOD,,
2026-02-10T12:55:36.381843,12,20,37,26.5,44.9,114,MODERATE,,
2026-02-10T12:55:37.997787,71,157,197,29.8,61.9,252,GOOD,,
2026-02-10T12:55:38.387715,39,173,90,25.5,76.1,1,MODERATE,,
2026-02-10T12:55:40.003214,74,57,296,27.9,57.8,170,UNHEALTHY,,
2026-02-10T12:55:40.393531,45,19,249,24.9,31.8,31,UNHEALTHY,,
2026-02-10T12:55:42.008644,43,27,295,23.8,64.4,257,MODERATE,,
2026-02-10T12:55:42.395803,31,167,184,20.1,45.9,129,MODERATE,,
2026-02-10T12:55:44.014281,72,41,169,19.4,55.1,247,GOOD,,
2026-02-10T12:55:44.401295,71,103,176,27.6,44.4,136,MODERATE,,
2026-02-10T12:55:46.019833,83,101,228,27.6,59.7,147,MODERATE,,
2026-02-10T12:55:46.406867,21,173,269,24.8,79.9,72,MODERATE,,
2026-02-10T12:55:48.025797,24,123,227,20.6,68.2,215,UNHEALTHY,,
2026-02-10T12:55:48.410948,95,93,269,18.2,38.2,90,MODERATE,,
2026-02-10T12:55:50.030251,33,185,215,21.1,31.8,151,MODERATE,,
2026-02-10T12:55:50.416980,86,21,157,25.9,76.8,175,MODERATE,,
2026-02-10T12:55:52.035862,50,151,232,21.4,63.1,130,MODERATE,,
2026-02-10T12:55:52.422420,92,107,224,28.1,48.5,172,GOOD,,
2026-02-10T12:55:54.041273,37,38,61,19.3,76.8,57,MODERATE,,
2026-02-10T12:55:54.427727,99,186,149,19.9,80.0,94,UNHEALTHY,,
2026-02-10T12:55:56.042399,40,147,112,18.5,43.9,91,GOOD,,
2026-02-10T12:55:56.428122,48,92,139,24.4,75.4,151,UNHEALTHY,,
2026-02-10T12:55:58.045868,52,47,222,29.8,74.9,293,MODERATE,,
2026-02-10T12:55:58.433538,68,200,211,25.7,73.2,226,UNHEALTHY,,
2026-02-10T12:56:00.051779,56,42,225,29.6,30.5,82,GOOD,,
2026-02-10T12:56:00.439137,27,27,150,29.2,33.7,117,UNHEALTHY,,
2026-02-10T12:56:02.057373,46,11,174,25.1,68.9,208,MODERATE,,
2026-02-10T12:56:02.442378,25,39,273,19.5,37.8,6,GOOD,,
2026-02-10T12:56:04.062923,84,62,198,24.3,60.0,268,MODERATE,,
2026-02-10T12:56:04.447868,17,137,157,25.6,57.5,154,MODERATE,,
2026-02-10T12:56:06.068780,24,13,90,23.0,44.5,198,GOOD,,
2026-02-10T12:56:06.451011,80,19,76,27.5,68.4,148,UNHEALTHY,,
2026-02-10T12:56:08.074284,30,103,269,27.1,74.1,252,GOOD,,
2026-02-10T12:56:08.456533,90,35,178,19.9,31.8,165,GOOD,,
2026-02-10T12:56:10.078026,31,11,218,22.1,51.3,60,GOOD,,
2026-02-10T12:56:10.461477,47,60,82,28.2,68.5,89,UNHEALTHY,,
2026-02-10T12:56:12.083402,25,188,169,29.4,42.7,112,MODERATE,,
2026-02-10T12:56:12.466834,67,87,224,21.8,68.3,168,GOOD,,
2026-02-10T12:56:14.089257,64,25,132,25.9,79.5,66,MODERATE,,
2026-02-10T12:56:14.472409,66,83,276,30.0,46.6,127,GOOD,,
2026-02-10T12:56:16.093854,81,148,87,24.5,60.3,261,MODERATE,,
2026-02-10T12:56:16.474568,40,137,165,22.3,51.9,56,GOOD,,
2026-02-10T12:56:18.099307,91,73,254,28.5,46.0,123,UNHEALTHY,,
2026-02-10T12:56:18.476538,35,171,88,23.7,54.7,265,MODERATE,,
2026-02-10T12:56:20.106283,66,187,291,20.6,57.8,257,MODERATE,,
2026-02-10T12:56:20.482243,16,144,165,21.1,65.3,196,GOOD,,
2026-02-10T13:11:07.611707,3,4,4,25.0,17.0,33,GOOD,,
2026-02-10T13:11:09.617643,3,4,4,25.0,17.0,29,GOOD,,
2026-02-10T13:14:55.024842,2,3,3,25.0,17.0,37,GOOD,,
2026-02-10T13:14:56.900566,2,3,3,25.0,17.0,29,GOOD,,
2026-02-10T13:15:00.923906,2,3,3,25.0,16.0,20,GOOD,,
2026-02-10T13:15:02.907637,2,3,3,25.0,17.0,12,GOOD,,
2026-02-10T13:15:04.989848,3,4,4,25.0,17.0,12,GOOD,,
2026-02-10T13:15:06.972087,3,4,4,25.0,17.0,12,GOOD,,
2026-02-10T13:15:09.038729,3,4,4,25.0,17.0,12,GOOD,,
2026-02-10T13:15:11.029375,3,4,4,25.0,17.0,12,GOOD,,
2026-02-10T13:15:13.031728,3,4,4,25.0,17.0,12,GOOD,,
2026-02-10T13:15:15.100445,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:19.127165,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:21.174177,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:23.163555,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:25.259255,61,179,282,18.2,35.3,59,GOOD,,
2026-02-10T13:15:27.244228,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:27.267759,36,167,47,20.3,47.1,114,MODERATE,,
2026-02-10T13:15:29.239317,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:29.273894,93,12,198,24.7,77.1,183,UNHEALTHY,,
2026-02-10T13:15:31.283189,12,19,134,28.9,33.9,85,MODERATE,,
